,iso_code,country,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccine_id,vaccine_names,source_id,source_name,source_website
2319,BLR,Belarus,3/13/2021,0,0,0,0,754,0.0,0.0,0.0,80,"['V002', 'V017']","['BBIBP-CorV', 'Sputnik V']",S001,World Health Organization,https://covid19.who.int/
2320,BLR,Belarus,3/14/2021,0,0,0,0,1053,0.0,0.0,0.0,111,"['V002', 'V017']","['BBIBP-CorV', 'Sputnik V']",S001,World Health Organization,https://covid19.who.int/
2321,BLR,Belarus,3/15/2021,0,0,0,0,1352,0.0,0.0,0.0,143,"['V002', 'V017']","['BBIBP-CorV', 'Sputnik V']",S001,World Health Organization,https://covid19.who.int/
2322,BLR,Belarus,3/16/2021,0,0,0,0,1651,0.0,0.0,0.0,175,"['V002', 'V017']","['BBIBP-CorV', 'Sputnik V']",S001,World Health Organization,https://covid19.who.int/
2323,BLR,Belarus,3/17/2021,0,0,0,0,1950,0.0,0.0,0.0,206,"['V002', 'V017']","['BBIBP-CorV', 'Sputnik V']",S001,World Health Organization,https://covid19.who.int/
2324,BLR,Belarus,3/18/2021,0,0,0,0,2249,0.0,0.0,0.0,238,"['V002', 'V017']","['BBIBP-CorV', 'Sputnik V']",S001,World Health Organization,https://covid19.who.int/
2325,BLR,Belarus,3/19/2021,0,0,0,0,2548,0.0,0.0,0.0,270,"['V002', 'V017']","['BBIBP-CorV', 'Sputnik V']",S001,World Health Organization,https://covid19.who.int/
2326,BLR,Belarus,3/2/2021,0,0,0,0,455,0.0,0.0,0.0,48,"['V002', 'V017']","['BBIBP-CorV', 'Sputnik V']",S001,World Health Organization,https://covid19.who.int/
2327,BLR,Belarus,3/20/2021,0,0,0,0,2548,0.0,0.0,0.0,270,"['V002', 'V017']","['BBIBP-CorV', 'Sputnik V']",S001,World Health Organization,https://covid19.who.int/
2328,BLR,Belarus,3/21/2021,0,0,0,0,2548,0.0,0.0,0.0,270,"['V002', 'V017']","['BBIBP-CorV', 'Sputnik V']",S001,World Health Organization,https://covid19.who.int/
2329,BLR,Belarus,3/22/2021,0,0,0,0,2548,0.0,0.0,0.0,270,"['V002', 'V017']","['BBIBP-CorV', 'Sputnik V']",S001,World Health Organization,https://covid19.who.int/
2330,BLR,Belarus,3/23/2021,0,0,0,0,2548,0.0,0.0,0.0,270,"['V002', 'V017']","['BBIBP-CorV', 'Sputnik V']",S001,World Health Organization,https://covid19.who.int/
2331,BLR,Belarus,3/24/2021,0,0,0,0,2548,0.0,0.0,0.0,270,"['V002', 'V017']","['BBIBP-CorV', 'Sputnik V']",S001,World Health Organization,https://covid19.who.int/
2332,BLR,Belarus,3/25/2021,0,0,0,0,2548,0.0,0.0,0.0,270,"['V002', 'V017']","['BBIBP-CorV', 'Sputnik V']",S001,World Health Organization,https://covid19.who.int/
2333,BLR,Belarus,3/26/2021,66618,40518,26100,0,2548,0.71,0.43,0.28,270,"['V002', 'V017']","['BBIBP-CorV', 'Sputnik V']",S001,World Health Organization,https://covid19.who.int/
2334,BLR,Belarus,3/27/2021,0,0,0,0,2709,0.0,0.0,0.0,287,"['V002', 'V017']","['BBIBP-CorV', 'Sputnik V']",S001,World Health Organization,https://covid19.who.int/
2335,BLR,Belarus,3/28/2021,0,0,0,0,2871,0.0,0.0,0.0,304,"['V002', 'V017']","['BBIBP-CorV', 'Sputnik V']",S001,World Health Organization,https://covid19.who.int/
2336,BLR,Belarus,3/29/2021,0,0,0,0,3032,0.0,0.0,0.0,321,"['V002', 'V017']","['BBIBP-CorV', 'Sputnik V']",S001,World Health Organization,https://covid19.who.int/
2337,BLR,Belarus,3/3/2021,0,0,0,0,455,0.0,0.0,0.0,48,"['V002', 'V017']","['BBIBP-CorV', 'Sputnik V']",S001,World Health Organization,https://covid19.who.int/
2338,BLR,Belarus,3/30/2021,0,0,0,0,3193,0.0,0.0,0.0,338,"['V002', 'V017']","['BBIBP-CorV', 'Sputnik V']",S001,World Health Organization,https://covid19.who.int/
2339,BLR,Belarus,3/31/2021,0,0,0,0,3355,0.0,0.0,0.0,355,"['V002', 'V017']","['BBIBP-CorV', 'Sputnik V']",S001,World Health Organization,https://covid19.who.int/
2340,BLR,Belarus,3/4/2021,0,0,0,0,455,0.0,0.0,0.0,48,"['V002', 'V017']","['BBIBP-CorV', 'Sputnik V']",S001,World Health Organization,https://covid19.who.int/
2341,BLR,Belarus,3/5/2021,0,0,0,0,455,0.0,0.0,0.0,48,"['V002', 'V017']","['BBIBP-CorV', 'Sputnik V']",S001,World Health Organization,https://covid19.who.int/
2342,BLR,Belarus,3/6/2021,0,0,0,0,455,0.0,0.0,0.0,48,"['V002', 'V017']","['BBIBP-CorV', 'Sputnik V']",S001,World Health Organization,https://covid19.who.int/
2343,BLR,Belarus,3/7/2021,0,0,0,0,455,0.0,0.0,0.0,48,"['V002', 'V017']","['BBIBP-CorV', 'Sputnik V']",S001,World Health Organization,https://covid19.who.int/
2344,BLR,Belarus,3/8/2021,0,0,0,0,455,0.0,0.0,0.0,48,"['V002', 'V017']","['BBIBP-CorV', 'Sputnik V']",S001,World Health Organization,https://covid19.who.int/
2345,BLR,Belarus,3/9/2021,0,0,0,0,455,0.0,0.0,0.0,48,"['V002', 'V017']","['BBIBP-CorV', 'Sputnik V']",S001,World Health Organization,https://covid19.who.int/
2346,BLR,Belarus,4/1/2021,0,0,0,0,3516,0.0,0.0,0.0,372,"['V002', 'V017']","['BBIBP-CorV', 'Sputnik V']",S001,World Health Organization,https://covid19.who.int/
2347,BLR,Belarus,4/10/2021,0,0,0,0,5299,0.0,0.0,0.0,561,"['V002', 'V017']","['BBIBP-CorV', 'Sputnik V']",S001,World Health Organization,https://covid19.who.int/
2348,BLR,Belarus,4/11/2021,0,0,0,0,6921,0.0,0.0,0.0,732,"['V002', 'V017']","['BBIBP-CorV', 'Sputnik V']",S001,World Health Organization,https://covid19.who.int/
2349,BLR,Belarus,4/12/2021,0,0,0,0,8542,0.0,0.0,0.0,904,"['V002', 'V017']","['BBIBP-CorV', 'Sputnik V']",S001,World Health Organization,https://covid19.who.int/
2350,BLR,Belarus,4/13/2021,0,0,0,0,10164,0.0,0.0,0.0,1076,"['V002', 'V017']","['BBIBP-CorV', 'Sputnik V']",S001,World Health Organization,https://covid19.who.int/
2351,BLR,Belarus,4/14/2021,0,0,0,0,11785,0.0,0.0,0.0,1247,"['V002', 'V017']","['BBIBP-CorV', 'Sputnik V']",S001,World Health Organization,https://covid19.who.int/
2352,BLR,Belarus,4/15/2021,0,0,0,0,13407,0.0,0.0,0.0,1419,"['V002', 'V017']","['BBIBP-CorV', 'Sputnik V']",S001,World Health Organization,https://covid19.who.int/
2353,BLR,Belarus,4/16/2021,0,0,0,0,15029,0.0,0.0,0.0,1590,"['V002', 'V017']","['BBIBP-CorV', 'Sputnik V']",S001,World Health Organization,https://covid19.who.int/
2354,BLR,Belarus,4/17/2021,0,0,0,0,15029,0.0,0.0,0.0,1590,"['V002', 'V017']","['BBIBP-CorV', 'Sputnik V']",S001,World Health Organization,https://covid19.who.int/
2355,BLR,Belarus,4/18/2021,0,0,0,0,15029,0.0,0.0,0.0,1590,"['V002', 'V017']","['BBIBP-CorV', 'Sputnik V']",S001,World Health Organization,https://covid19.who.int/
2356,BLR,Belarus,4/19/2021,0,0,0,0,15029,0.0,0.0,0.0,1590,"['V002', 'V017']","['BBIBP-CorV', 'Sputnik V']",S001,World Health Organization,https://covid19.who.int/
